字符	一简86	一86全码	字符	二简86	二86全码	字符	一简98	一98全码	字符	二简98	二98全码
			寒	pf	pfju				鹿	ox	oxxv
			定	pg	pghu				麟	ox	oxxg
			写	pg	pgng				麒	ox	oxxw
			宝	pg	pgyu				广	oy	oygt
			寂	ph	phic				米	oy	oyty
			宵	pi	pief				粮	oy	oyvy
			审	pj	pjhj				赛	pa	pawm
			宴	pj	pjvf				寒	pa	pawu
			寓	pj	pjmy				塞	pa	pawf
			宫	pk	pkkf				字	pb	pbf
			军	pl	plj				害	pd	pdhk
			寰	pl	plge				寄	pd	pdsk
			郓	pl	plbh				宏	pd	pdcu
			宙	pm	pmf				农	pe	pei
			冗	pm	pmb				宜	pe	pegf
			官	pn	pnhn				守	pf	pfu
			密	pn	pntm				完	pf	pfqb
			蜜	pn	pntj				宗	pf	pfiu
			灾	po	pou				家	pg	pgeu
			之	pp	pppp				定	pg	pghu
			宛	pq	pqbb				写	pg	pgng
			冤	pq	pqky				寂	ph	phic
			剜	pq	pqbj				宵	pi	pief
			宾	pr	prgw				审	pj	pjhj
			牢	pr	prhj				宴	pj	pjvf
			宁	ps	psj				寓	pj	pjmy
			宋	ps	psu				宫	pk	pkkf
			客	pt	ptkf				军	pl	plj
			额	pt	ptkm				寰	pl	plge
			宅	pt	ptab				郓	pl	plbh
			实	pu	pudu				宙	pm	pmf
			被	pu	puhc				官	pn	pnf
			初	pu	puvn				密	pn	pntm
			安	pv	pvf				蜜	pn	pntj
			案	pv	pvsu				灾	po	pou
			宄	pv	pvb				之	pp	pppp
			空	pw	pwaf				宛	pq	pqbb
			容	pw	pwwk				冤	pq	pqky
			究	pw	pwvb				剜	pq	pqbj
			它	px	pxb				宾	pr	prwu
			社	py	pyfg				宁	ps	psj
			神	py	pyjh				宋	ps	psu
			视	py	pymq				客	pt	ptkf
			氏	qa	qav				额	pt	ptkm
			错	qa	qajg				牢	pt	ptgj
			昏	qa	qajf				实	pu	pudu
			凶	qb	qbk				被	pu	puby
			迎	qb	qbpk				初	pu	puvt
			怨	qb	qbnu				安	pv	pvf
			色	qc	qcb				案	pv	pvsu
			勾	qc	qci				宄	pv	pvb
			钗	qc	qcyy				空	pw	pwaf
			然	qd	qdou				容	pw	pwwk
			希	qd	qdmh				究	pw	pwvb
			危	qd	qdbb				它	px	pxb
			角	qe	qej				社	py	pyfg
			解	qe	qevh				神	py	pyjh
			触	qe	qejy				视	py	pymq
			针	qf	qfh				氏	qa	qav
			镇	qf	qfhw				错	qa	qajg
			铐	qf	qftn				昏	qa	qajf
			钱	qg	qgt				迎	qb	qbpk
			印	qg	qgbh				怨	qb	qbnu
			鱼	qg	qgf				鸳	qb	qbqg
			外	qh	qhy				色	qc	qcb
			钻	qh	qhkg				勾	qc	qci
			钋	qh	qhy				钗	qc	qcyy
			乐	qi	qii				然	qd	qdou
			尔	qi	qiu				危	qd	qdbb
			销	qi	qieg				铸	qd	qdtf
			旬	qj	qjd				角	qe	qej
			象	qj	qjeu				解	qe	qevg
			锡	qj	qjqr				触	qe	qejy
			名	qk	qkf				针	qf	qfh
			句	qk	qkd				镇	qf	qfhw
			够	qk	qkqq				钳	qf	qfg
			甸	ql	qld				钱	qg	qgay
			链	ql	qlpy				印	qg	qgbh
			锣	ql	qlqy				鱼	qg	qgf
			负	qm	qmu				外	qh	qhy
			钢	qm	qmqy				钻	qh	qhkg
			铜	qm	qmgk				钋	qh	qhy
			包	qn	qnv				尔	qi	qiu
			饭	qn	qnrc				逃	qi	qipi
			馆	qn	qnpn				销	qi	qieg
			炙	qo	qou				旬	qj	qjd
			镂	qo	qovg				锡	qj	qjqr
			鬯	qo	qobx				龟	qj	qjnb
			锭	qp	qpgh				名	qk	qkf
			夤	qp	qpgw				象	qk	qkeu
			镔	qp	qprw				句	qk	qkd
			多	qq	qqu				甸	ql	qld
			钓	qq	qqyy				链	ql	qlpy
			钧	qq	qqug				锣	ql	qlqy
			铁	qr	qrwy				负	qm	qmu
			忽	qr	qrnu				岛	qm	qmk
			匆	qr	qryi				钢	qm	qmry
			钉	qs	qsh				包	qn	qnv
			杀	qs	qsu				饭	qn	qnrc
			刹	qs	qsjh				馆	qn	qnpn
			儿	qt	qtn				炙	qo	qou
			独	qt	qtjy				镂	qo	qovg
			狂	qt	qtgg				镀	qo	qoac
			匀	qu	qud				锭	qp	qpgh
			镜	qu	qujq				夤	qp	qpgw
			锐	qu	qukq				镔	qp	qprw
			争	qv	qvhj				多	qq	qqu
			急	qv	qvnu				钓	qq	qqyy
			银	qv	qvey				钧	qq	qqug
			欠	qw	qwu				勿	qr	qre
			铃	qw	qwyc				忽	qr	qrnu
			锻	qw	qwdc				匆	qr	qryi
			镪	qx	qxkj				钉	qs	qsh
			锴	qx	qxxr				铺	qs	qsy
			镄	qx	qxjm				镖	qs	qsfi
			久	qy	qyi				儿	qt	qtn
			留	qy	qyvl				铁	qt	qtgy
			鸟	qy	qyng				独	qt	qtjy
			找	ra	rat				匀	qu	qud
			描	ra	ralg				镜	qu	qujq
			摸	ra	rajd				锐	qu	qukq
			报	rb	rbcy				争	qv	qvhj
			摄	rb	rbcc				急	qv	qvnu
			拙	rb	rbmh				银	qv	qvy
			反	rc	rci				欠	qw	qwu
			把	rc	rcn				铃	qw	qwyc
			抬	rc	rckg				铅	qw	qwkg
			拓	rd	rdg				锴	qx	qxxr
			排	rd	rdjd				镪	qx	qxkj
			拜	rd	rdfh				镄	qx	qxjm
			扔	re	ren				久	qy	qyi
			摇	re	rerm				留	qy	qyvl
			拥	re	reh				贸	qy	qyvm
			持	rf	rffy				找	ra	ray
			技	rf	rfcy				描	ra	ralg
			质	rf	rfmi				摸	ra	rajd
			后	rg	rgkd				报	rb	rbcy
			兵	rg	rgwu				凶	rb	rbk
			皇	rg	rgf				摄	rb	rbcc
			年	rh	rhfk				反	rc	rci
			掉	rh	rhjh				把	rc	rcn
			牛	rh	rhk				抬	rc	rckg
			朱	ri	rii				拓	rd	rdg
			挑	ri	riqn				希	rd	rdmh
			泉	ri	riu				拜	rd	rdfh
			提	rj	rjgh				拥	re	reh
			担	rj	rjgg				摇	re	retb
			揭	rj	rjqn				授	re	repc
			扣	rk	rkg				质	rf	rfmi
			操	rk	rkks				技	rf	rfcy
			损	rk	rkmy				持	rf	rffy
			押	rl	rlh				后	rg	rgkd
			舞	rl	rlgh				皇	rg	rgf
			摆	rl	rlfc				扶	rg	rgy
			抽	rm	rmg				看	rh	rhf
			制	rm	rmhj				排	rh	rhdd
			投	rm	rmcy				掉	rh	rhjh
			所	rn	rnrh				泉	ri	riu
			气	rn	rnb				挡	ri	rivg
			据	rn	rndg				撑	ri	ripr
			搂	ro	rovg				提	rj	rjgh
			擞	ro	rovt				担	rj	rjgg
			近	rp	rpk				揭	rj	rjqn
			按	rp	rpvg				扣	rk	rkg
			控	rp	rpwa				操	rk	rkks
			换	rq	rqmd				损	rk	rkmy
			鬼	rq	rqci				押	rl	rlh
			抱	rq	rqnn				摆	rl	rlfc
			折	rr	rrh				捆	rl	rlsy
			抓	rr	rrhy				抽	rm	rmg
			拍	rr	rrg				岳	rm	rmj
			打	rs	rsh				摧	rm	rmwy
			揸	rs	rsjg				所	rn	rnrh
			手	rt	rtgh				据	rn	rndg
			托	rt	rtan				扬	rn	rnrt
			括	rt	rtdg				扩	ro	rot
			拉	ru	rug				搂	ro	rovg
			接	ru	ruvg				搪	ro	rovk
			撞	ru	rujf				近	rp	rpk
			扫	rv	rvg				按	rp	rpvg
			势	rv	rvyl				控	rp	rpwa
			热	rv	rvyo				换	rq	rqmd
			失	rw	rwi				鬼	rq	rqci
			推	rw	rwyg				抱	rq	rqnn
			抢	rw	rwbn				折	rr	rrh
			批	rx	rxxn				抓	rr	rrhy
			指	rx	rxjg				拍	rr	rrg
			拂	rx	rxjh				打	rs	rsh
			扩	ry	ryt				杀	rs	rsu
			护	ry	rynt				捕	rs	rsy
			抗	ry	rymn				手	rt	rtgh
			械	sa	saah				气	rt	rtgn
			模	sa	sajd				托	rt	rtan
			横	sa	samw				拉	ru	rug
			李	sb	sbf				接	ru	ruvg
			椭	sb	sbde				撞	ru	rujf
			椰	sb	sbbh				扫	rv	rvg
			权	sc	scy				势	rv	rvye
			树	sc	scfy				热	rv	rvyo
			桶	sc	sceh				兵	rw	rwu
			枯	sd	sdg				推	rw	rwyg
			顶	sd	sdmy				投	rw	rwcy
			椅	sd	sdsk				指	rx	rxjg
			极	se	seyy				批	rx	rxxn
			棚	se	seeg				拂	rx	rxjh
			杉	se	set				搞	ry	rymk
			村	sf	sfy				护	ry	rynt
			标	sf	sfiy				抗	ry	rywn
			杜	sf	sfg				模	sa	sajd
			本	sg	sgd				横	sa	samw
			西	sg	sghg				柜	sa	sang
			配	sg	sgnn				李	sb	sbf
			相	sh	shg				极	sb	sbyy
			想	sh	shnu				椭	sb	sbde
			朴	sh	shy				权	sc	scy
			档	si	sivg				树	sc	scfy
			桃	si	siqn				桶	sc	sceh
			梢	si	sieg				顶	sd	sdmy
			查	sj	sjgf				杯	sd	sdhy
			棍	sj	sjxx				椅	sd	sdsk
			棵	sj	sjsy				杉	se	set
			可	sk	skd				棚	se	seeg
			哥	sk	sksk				枷	se	sekg
			歌	sk	sksw				票	sf	sfiu
			楞	sl	slyn				标	sf	sfiy
			枷	sl	slkg				村	sf	sfy
			柙	sl	slh				本	sg	sgd
			机	sm	smn				西	sg	sghg
			贾	sm	smu				配	sg	sgnn
			枫	sm	smqy				相	sh	shg
			杨	sn	snrt				想	sh	shnu
			札	sn	snn				朴	sh	shy
			楣	sn	snhg				档	si	sivg
			杰	so	sou				梢	si	sieg
			楼	so	sovg				杪	si	sitt
			粟	so	sou				查	sj	sjgf
			棕	sp	spfi				棍	sj	sjxx
			枕	sp	spqn				棵	sj	sjsy
			棺	sp	spnn				可	sk	skd
			构	sq	sqcy				整	sk	skth
			柳	sq	sqtb				哥	sk	sksk
			攀	sq	sqqr				柬	sl	sld
			析	sr	srh				楞	sl	slyt
			板	sr	srcy				柙	sl	slh
			柏	sr	srg				贾	sm	smu
			林	ss	ssy				刺	sm	smjh
			楚	ss	ssnh				桐	sm	smgk
			梦	ss	ssqu				札	sn	snn
			格	st	stkg				杨	sn	snrt
			梅	st	stxu				楣	sn	snhg
			桥	st	stdj				杰	so	sou
			样	su	sudh				楼	so	sovg
			校	su	suqy				桩	so	sofg
			梯	su	suxt				枕	sp	spqn
			要	sv	svf				棺	sp	spng
			根	sv	svey				棕	sp	spfi
			概	sv	svcq				构	sq	sqcy
			检	sw	swgi				柳	sq	sqtb
			松	sw	swcy				桃	sq	sqiy
			枪	sw	swbn				析	sr	srh
			楷	sx	sxxr				板	sr	srcy
			椽	sx	sxey				柏	sr	srg
			枇	sx	sxxn				林	ss	ssy
			术	sy	syi				楚	ss	ssnh
			述	sy	sypi				梦	ss	ssqu
			核	sy	synw				枚	st	sty
			长	ta	tayi				格	st	stkg
			升	ta	tak				梅	st	stxy
			彻	ta	tavn				样	su	suh
			季	tb	tbf				校	su	sury
			迤	tb	tbpv				梯	su	suxt
			么	tc	tcu				根	sv	svy
			私	tc	tcy				概	sv	svaq
			径	tc	tcag				棣	sv	sviy
			知	td	tdkg				机	sw	swn
			乱	td	tdnn				检	sw	swgg
			适	td	tdpd				松	sw	swcy
			秀	te	teb				楷	sx	sxxr
			般	te	temc				椽	sx	sxey
			船	te	temk				枇	sx	sxxn
			行	tf	tfhh				术	sy	syi
			等	tf	tffu				述	sy	sypi
			先	tf	tfqb				核	sy	synw
			生	tg	tgd				长	ta	tayi
			重	tg	tgjf				升	ta	tak
			策	tg	tgmi				彻	ta	tavt
			处	th	thi				秀	tb	tbr
			自	th	thd				透	tb	tbpe
			算	th	thaj				彼	tb	tby
			秒	ti	titt				么	tc	tcu
			稍	ti	tieg				私	tc	tcy
			衍	ti	tifh				径	tc	tcag
			得	tj	tjgf				知	td	tdkg
			利	tj	tjh				乱	td	tdnn
			复	tj	tjtu				适	td	tdpd
			各	tk	tkf				务	te	ter
			种	tk	tkhh				笔	te	teb
			程	tk	tkgg				租	te	tegg
			务	tl	tlb				等	tf	tffu
			备	tl	tlf				先	tf	tfqb
			血	tl	tld				告	tf	tfkf
			向	tm	tmkd				年	tg	tgj
			身	tm	tmdt				生	tg	tgd
			微	tm	tmgt				行	tg	tgsh
			秘	tn	tntt				处	th	thi
			乞	tn	tnb				自	th	thd
			筷	tn	tnnw				算	th	thaj
			秋	to	toy				秒	ti	titt
			翻	to	toln				稍	ti	tieg
			释	to	toch				衍	ti	tigs
			管	tp	tpnn				得	tj	tjgf
			乏	tp	tpi				利	tj	tjh
			稼	tp	tpey				复	tj	tjtu
			称	tq	tqiy				各	tk	tkf
			移	tq	tqqy				种	tk	tkhh
			稳	tq	tqvn				程	tk	tkgg
			物	tr	trqr				备	tl	tlf
			特	tr	trff				血	tl	tld
			御	tr	trhb				徊	tl	tlkg
			条	ts	tsu				身	tm	tmdt
			箱	ts	tshf				向	tm	tmkd
			笨	ts	tsgf				微	tm	tmgt
			笔	tt	ttfn				乐	tn	tnii
			笑	tt	ttdu				追	tn	tnpd
			竹	tt	ttgh				秘	tn	tntt
			科	tu	tufh				秋	to	toy
			乎	tu	tuhk				翻	to	toln
			简	tu	tujf				释	to	tocg
			委	tv	tvf				乏	tp	tpu
			很	tv	tvey				管	tp	tpnf
			律	tv	tvfh				稼	tp	tpge
			答	tw	twgk				稳	tq	tqvn
			徐	tw	twty				称	tq	tqiy
			符	tw	twfu				移	tq	tqqy
			第	tx	txht				稀	tr	trdh
			系	tx	txiu				循	tr	trfh
			每	tx	txgu				穆	tr	trie
			入	ty	tyi				条	ts	tsu
			往	ty	tygg				策	ts	tsmb
			篇	ty	tyna				箱	ts	tshf
			并	ua	uaj				秩	tt	ttgy
			瓶	ua	uagn				笑	tt	ttdu
			冻	ua	uaiy				御	tt	ttgb
			闻	ub	ubd				冬	tu	tuu
			疗	ub	ubk				科	tu	tufh
			逆	ub	ubtp				乎	tu	tufk
			冯	uc	ucg				委	tv	tvf
			痛	uc	ucek				很	tv	tvy
			闯	uc	ucd				律	tv	tvgh
			关	ud	udu				答	tw	twgk
			着	ud	udhf				徐	tw	twgs
			头	ud	udi				符	tw	twfu
			前	ue	uejj				每	tx	txu
			遂	ue	uepi				系	tx	txiu
			毅	ue	uemc				第	tx	txht
			半	uf	ufk				入	ty	tyi
			装	uf	ufye				往	ty	tygg
			兰	uf	uff				篇	ty	tyna
			闰	ug	ugd				并	ua	uaj
			美	ug	ugdu				差	ua	uaf
			病	ug	ugmw				瓶	ua	uagy
			站	uh	uhkg				疗	ub	ubk
			丫	uh	uhk				闻	ub	ubd
			疲	uh	uhci				逆	ub	ubtp
			冰	ui	uiy				痛	uc	ucek
			阔	ui	uitd				冯	uc	ucgg
			瘠	ui	uiwe				闯	uc	ucgd
			间	uj	ujd				头	ud	udi
			意	uj	ujnu				关	ud	udu
			音	uj	ujf				送	ud	udpi
			部	uk	ukbh				前	ue	uejj
			问	uk	ukd				遂	ue	uepi
			总	uk	uknu				瘦	ue	uehc
			曾	ul	uljf				斗	uf	ufk
			兽	ul	ulgk				装	uf	ufye
			闸	ul	ulk				闭	uf	ufte
			商	um	umwk				半	ug	ugk
			端	um	umdj				美	ug	ugdu
			疯	um	umqi				病	ug	ugmw
			决	un	unwy				着	uh	uhf
			闷	un	uni				站	uh	uhkg
			翊	un	ung				丫	uh	uhk
			普	uo	uogj				冰	ui	uiy
			痰	uo	uooi				阔	ui	uitd
			瘘	uo	uovd				瘠	ui	uiwe
			帝	up	upmh				间	uj	ujd
			旁	up	upyb				意	uj	ujnu
			啻	up	upmk				音	uj	ujf
			交	uq	uqu				问	uk	ukd
			将	uq	uqfy				部	uk	ukbh
			次	uq	uqwy				总	uk	uknu
			瓣	ur	urcu				闸	ul	ulk
			亲	us	usu				曾	ul	uljf
			新	us	usrh				兽	ul	ulgk
			尊	us	usgf				端	um	umdj
			产	ut	ute				凋	um	umfk
			首	ut	uthf				瘿	um	ummv
			颜	ut	utem				闷	un	uni
			立	uu	uuuu				决	un	unwy
			阅	uu	uukq				羞	un	unhg
			阙	uu	uubw				普	uo	uojf
			妆	uv	uvg				痰	uo	uooi
			兼	uv	uvou				瘘	uo	uovd
			瘦	uv	uvhc				次	uq	uqwy
			闪	uw	uwi				将	uq	uqfy
			冷	uw	uwyc				资	uq	uqwm
			准	uw	uwyg				交	ur	uru
			北	ux	uxn				效	ur	urty
			弟	ux	uxht				郊	ur	urbh
			背	ux	uxef				亲	us	usu
			六	uy	uygy				新	us	usrh
			门	uy	uyhn				尊	us	usgf
			闹	uy	uymh				道	ut	uthp
			毁	va	vamc				首	ut	uthf
			媒	va	vafs				颜	ut	utem
			姬	va	vahh				立	uu	uuuu
			好	vb	vbg				善	uu	uukf
			婀	vb	vbsk				阅	uu	uukq
			媸	vb	vbhj				妆	uv	uvg
			妈	vc	vcg				兼	uv	uvjw
			即	vc	vcbh				痕	uv	uvi
			始	vc	vckg				闪	uw	uwi
			姑	vd	vdg				冷	uw	uwyc
			娠	vd	vdfe				准	uw	uwyg
			奶	ve	ven				北	ux	uxn
			姐	ve	vegg				弟	ux	uxht
			退	ve	vepi				背	ux	uxef
			寻	vf	vfu				六	uy	uygy
			那	vf	vfbh				门	uy	uyhn
			建	vf	vfhp				闹	uy	uymh
			姨	vg	vgxw				既	va	vaqn
			嫩	vg	vgkt				姬	va	vahh
			娅	vg	vgog				妪	va	vary
			叟	vh	vhcu				好	vb	vbg
			肀	vh	vhk				即	vb	vbh
			录	vi	viu				奶	vb	vbt
			妙	vi	vitt				妈	vc	vcgg
			肃	vi	vijk				始	vc	vckg
			旭	vj	vjd				怒	vc	vcnu
			巢	vj	vjsu				姑	vd	vdg
			娼	vj	vjjg				娠	vd	vdfe
			如	vk	vkg				姐	ve	vegg
			召	vk	vkf				嫂	ve	vehc
			恕	vk	vknu				媛	ve	vegc
			舅	vl	vllb				寻	vf	vfu
			姻	vl	vldy				妹	vf	vfy
			邋	vl	vlqp				媒	vf	vfsy
			妯	vm	vmg				建	vg	vgpk
			姗	vm	vmmg				姨	vg	vgxw
			娉	vm	vmgn				娅	vg	vgog
			刀	vn	vnt				肃	vh	vhjw
			妮	vn	vnxn				肀	vh	vhk
			媚	vn	vnhg				录	vi	viu
			灵	vo	vou				妙	vi	vitt
			巡	vp	vpv				剥	vi	vijh
			嫁	vp	vpey				旭	vj	vjd
			婉	vp	vpqb				巢	vj	vjsu
			婚	vq	vqaj				娼	vj	vjjg
			鸠	vq	vqyg				如	vk	vkg
			娩	vq	vqkq				召	vk	vkf
			姝	vr	vriy				恕	vk	vknu
			婢	vr	vrtf				姻	vl	vldy
			杂	vs	vsu				邋	vl	vlrp
			嫖	vs	vsfi				嫘	vl	vlxi
			九	vt	vtn				妯	vm	vmg
			君	vt	vtkd				姗	vm	vmmg
			群	vt	vtkd				娉	vm	vmgn
			嫌	vu	vuvo				恳	vn	vnu
			嫉	vu	vutd				刀	vn	vnt
			娴	vu	vusy				娜	vn	vngb
			妇	vv	vvg				灵	vo	vou
			娜	vv	vvfb				嬷	vo	vosc
			嫂	vv	vvhc				退	vp	vpi
			臾	vw	vwi				嫁	vp	vpge
			妗	vw	vwyn				巡	vp	vpv
			姆	vx	vxgu				婚	vq	vqaj
			妣	vx	vxxn				姚	vq	vqiy
			妨	vy	vyn				鸠	vq	vqgg
			娘	vy	vyve				婢	vr	vrtf
			忍	vy	vynu				杂	vs	vsu
			代	wa	way				嫩	vs	vskt
			供	wa	wawy				嫖	vs	vsfi
			借	wa	wajg				九	vt	vtn
			他	wb	wbn				君	vt	vtkf
			创	wb	wbjh				群	vt	vtku
			仔	wb	wbg				嫌	vu	vuvw
			公	wc	wcu				嫉	vu	vutd
			仅	wc	wcy				娴	vu	vusy
			俊	wc	wcwt				妇	vv	vvg
			估	wd	wdg				妗	vw	vwyn
			做	wd	wdty				姆	vx	vxy
			段	wd	wdmc				妣	vx	vxxn
			仍	we	wen				妨	vy	vyt
			佣	we	weh				娘	vy	vyvy
			俘	we	webg				忍	vy	vynu
			会	wf	wfcu				代	wa	wayy
			什	wf	wfh				供	wa	wawy
			传	wf	wfny				借	wa	wajg
			全	wg	wgf				他	wb	wbn
			使	wg	wgkq				仍	wb	wbt
			便	wg	wgjq				创	wb	wbjh
			个	wh	whj				公	wc	wcu
			候	wh	whnd				仅	wc	wcy
			企	wh	whf				凤	wc	wci
			偿	wi	wipc				估	wd	wdg
			倘	wi	wimk				做	wd	wdty
			俏	wi	wieg				优	wd	wdny
			介	wj	wjj				佣	we	weh
			但	wj	wjgg				倪	we	weqn
			伸	wj	wjhh				俘	we	webg
			保	wk	wksy				什	wf	wfh
			促	wk	wkhy				会	wf	wfcu
			仲	wk	wkhh				传	wf	wfny
			佃	wl	wlg				全	wg	wgf
			偎	wl	wlge				使	wg	wgkr
			伽	wl	wlkg				便	wg	wgjr
			仙	wm	wmh				个	wh	whj
			侧	wm	wmjh				候	wh	whnd
			佩	wm	wmgh				企	wh	whf
			亿	wn	wnn				偿	wi	wipc
			似	wn	wnyw				倘	wi	wimk
			假	wn	wnhc				俏	wi	wieg
			伙	wo	woy				介	wj	wjj
			偻	wo	wovg				但	wj	wjgg
			侬	wp	wpey				伸	wj	wjhh
			伫	wp	wpgg				保	wk	wksy
			倌	wp	wpnn				促	wk	wkhy
			你	wq	wqiy				仲	wk	wkhh
			像	wq	wqje				佃	wl	wlg
			父	wq	wqu				偎	wl	wlge
			伯	wr	wrg				儡	wl	wlll
			件	wr	wrhh				仙	wm	wmh
			俾	wr	wrtf				侧	wm	wmjh
			休	ws	wsy				催	wm	wmwy
			何	ws	wskg				亿	wn	wnn
			体	ws	wsgg				似	wn	wnyw
			作	wt	wthf				假	wn	wnhc
			任	wt	wtfg				伙	wo	woy
			八	wt	wty				俯	wo	wowf
			们	wu	wun				偻	wo	wovg
			位	wu	wug				伫	wp	wpgg
			僧	wu	wulj				侬	wp	wpey
			分	wv	wvb				倌	wp	wpng
			伊	wv	wvtt				你	wq	wqiy
			健	wv	wvfp				像	wq	wqke
			从	ww	wwy				低	wq	wqay
			坐	ww	wwff				风	wr	wri
			众	ww	wwwu				父	wr	wru
			化	wx	wxn				爷	wr	wrbj
			华	wx	wxfj				休	ws	wsy
			佛	wx	wxjh				何	ws	wskg
			信	wy	wyg				体	ws	wsgg
			住	wy	wygg				八	wt	wty
			今	wy	wynb				作	wt	wthf
			红	xa	xag				几	wt	wtn
			练	xa	xanw				们	wu	wun
			绕	xa	xatq				位	wu	wug
			弛	xb	xbn				僧	wu	wulj
			绌	xb	xbmh				分	wv	wvr
			弭	xb	xbg				伊	wv	wvtt
			经	xc	xcag				健	wv	wvgp
			弘	xc	xcy				从	ww	wwy
			缀	xc	xccc				坐	ww	wwfd
			顷	xd	xdmy				众	ww	wwwu
			绑	xd	xdtb				化	wx	wxn
			绮	xd	xdsk				华	wx	wxfj
			级	xe	xeyy				佛	wx	wxjh
			组	xe	xegg				信	wy	wyg
			缓	xe	xefc				住	wy	wygg
			结	xf	xfkg				今	wy	wynb
			续	xf	xfnd				红	xa	xag
			贯	xf	xfmu				练	xa	xanw
			线	xg	xgt				绕	xa	xatq
			母	xg	xgui				级	xb	xbyy
			纯	xg	xgbn				弛	xb	xbn
			引	xh	xhh				绌	xb	xbmh
			绰	xh	xhjh				弘	xc	xcy
			缈	xh	xhit				缀	xc	xccc
			纱	xi	xitt				绎	xc	xcgh
			绡	xi	xieg				顷	xd	xdmy
			颍	xi	xidm				绑	xd	xdtb
			旨	xj	xjf				绮	xd	xdsk
			费	xj	xjmu				组	xe	xegg
			弗	xj	xjk				缓	xe	xegc
			强	xk	xkjy				幼	xe	xet
			织	xk	xkwy				结	xf	xfkg
			绳	xk	xkjn				续	xf	xfnd
			细	xl	xlg				绪	xf	xftj
			幼	xl	xln				线	xg	xgay
			辔	xl	xlxk				纯	xg	xgbn
			纲	xm	xmqy				绩	xg	xgmy
			纳	xm	xmwy				引	xh	xhh
			绸	xm	xmfk				绰	xh	xhjh
			纪	xn	xnn				绯	xh	xhdd
			幻	xn	xnn				纱	xi	xitt
			纠	xn	xnhh				绡	xi	xieg
			继	xo	xonn				颍	xi	xidm
			缕	xo	xovg				旨	xj	xjf
			粥	xo	xoxn				费	xj	xjmu
			综	xp	xpfi				弗	xj	xjk
			缩	xp	xpwj				强	xk	xkjy
			绽	xp	xpgh				织	xk	xkwy
			约	xq	xqyy				绳	xk	xkjn
			绝	xq	xqcn				细	xl	xlg
			纸	xq	xqan				辔	xl	xlxk
			绵	xr	xrmh				缌	xl	xlny
			弧	xr	xrcy				贯	xm	xmu
			缴	xr	xryt				纳	xm	xmwy
			缥	xs	xsfi				绸	xm	xmfk
			缃	xs	xshg				纪	xn	xnn
			张	xt	xtay				母	xn	xnny
			终	xt	xtuy				幻	xn	xnn
			疑	xt	xtdh				继	xo	xonn
			弱	xu	xuxu				缠	xo	xojf
			弹	xu	xujf				缕	xo	xovg
			绞	xu	xuqy				综	xp	xpfi
			绿	xv	xviy				缩	xp	xpwj
			绍	xv	xvkg				绽	xp	xpgh
			纨	xv	xvyy				约	xq	xqyy
			给	xw	xwgk				绝	xq	xqcn
			维	xw	xwyg				纸	xq	xqan
			纵	xw	xwwy				绵	xr	xrmh
			比	xx	xxn				弧	xr	xrcy
			丝	xx	xxgf				缴	xr	xryt
			皆	xx	xxrf				缚	xs	xsfy
			纺	xy	xyn				缥	xs	xsfi
			统	xy	xycq				缃	xs	xshg
			编	xy	xyna				乡	xt	xte
			度	ya	yaci				张	xt	xtay
			试	ya	yaag				终	xt	xtuy
			席	ya	yamh				弱	xu	xuxu
			离	yb	ybmc				弹	xu	xujf
			熟	yb	ybvo				绞	xu	xury
			享	yb	ybf				绍	xv	xvkg
			充	yc	ycqb				绿	xv	xviy
			序	yc	ycbk				纨	xv	xvyy
			育	yc	ycef				给	xw	xwgk
			庆	yd	ydi				维	xw	xwyg
			诚	yd	ydnt				纵	xw	xwwy
			庞	yd	ydxv				比	xx	xxn
			衣	ye	yeu				丝	xx	xxgf
			哀	ye	yeu				皆	xx	xxrf
			谣	ye	yerm				纺	xy	xyt
			计	yf	yfh				统	xy	xycq
			讲	yf	yfjh				编	xy	xyna
			诗	yf	yffy				试	ya	yaay
			主	yg	ygd				诺	ya	yadk
			语	yg	ygkg				讶	ya	yaht
			请	yg	ygeg				享	yb	ybf
			让	yh	yhg				熟	yb	ybvo
			店	yh	yhkd				郭	yb	ybbh
			卞	yh	yhu				充	yc	ycqb
			就	yi	yidn				育	yc	ycef
			应	yi	yid				弃	yc	ycaj
			京	yi	yiu				诚	yd	ydnn
			刘	yj	yjh				斋	yd	ydmj
			齐	yj	yjj				诙	yd	ydoy
			课	yj	yjsy				衣	ye	yeu
			训	yk	ykh				哀	ye	yeu
			识	yk	ykwy				赢	ye	yemy
			误	yk	ykgd				计	yf	yfh
			为	yl	ylyi				讲	yf	yfjh
			库	yl	ylk				诗	yf	yffy
			谓	yl	yleg				证	yg	yghg
			高	ym	ymkf				语	yg	ygkg
			设	ym	ymcy				请	yg	ygeg
			市	ym	ymhj				让	yh	yhg
			记	yn	ynn				卞	yh	yhu
			望	yn	yneg				谑	yh	yhag
			房	yn	ynyv				就	yi	yidy
			变	yo	yocu				京	yi	yiu
			谈	yo	yooy				鹫	yi	yidg
			亦	yo	you				刘	yj	yjh
			这	yp	ypi				齐	yj	yjj
			亮	yp	ypmb				课	yj	yjsy
			毫	yp	yptn				训	yk	ykh
			义	yq	yqi				识	yk	ykwy
			底	yq	yqay				误	yk	ykgd
			询	yq	yqjg				亩	yl	ylf
			诉	yr	yryy				谓	yl	yleg
			诛	yr	yriy				颤	yl	ylkm
