ID	Unicode	字符	86版	86容错	98版	98容错	笔顺编号	笔顺容错
1	3400	㐀	gjgg	.	hghg	.	21211	.
2	3401	㐁	glwi	.	glwi	.	125341	.
3	3402	㐂	aaab	.	aaab	.	151515	.
4	3403	㐃	lhk	.	lhk	.	542	.
5	3404	㐄	ahk	.	ggnh	.	152	.
6	3405	㐅	qty	.	rty	.	34	.
7	3406	㐆	rvnv	.	rvnv	.	335115	.
8	3407	㐇	vnb	.	vnb	.	355	.
9	3408	㐈	tynb	.	tynb	.	345	.
10	3409	㐉	snb	.	snb	.	125	.
11	340A	㐊	fnb	.	fnb	.	1215	.
12	340B	㐋	fnb	.	fnb	.	1215	.
13	340C	㐌	tbb	.	tbb	.	31525	.
14	340D	㐍	enb	.	enb	.	34435	.
15	340E	㐎	ynb	.	ynb	.	41345	.
16	340F	㐏	gnb	.	gnb	.	12515	.
17	3410	㐐	vcnb	.	vcnb	.	531545	.
18	3411	㐑	tunb	.	tunb	.	354445	.
19	3412	㐒	vknb	.	vknb	.	532515	.
20	3413	㐓	sknb	.	sknb	.	125125	.
21	3414	㐔	ynb	.	ynb	.	412515	.
22	3415	㐕	mnb	.	mnb	.	251215	.
23	3416	㐖	fknn	.	fknn	.	1212515	.
24	3417	㐗	ftxn	.	ftxn	.	1213355	.
25	3418	㐘	onb	.	onb	.	4312345	.
26	3419	㐙	gkun	.	gkun	.	12514315	.
27	341A	㐚	gknb	.	gknb	.	12512515	.
28	341B	㐛	wdkn	.	wdkn	.	32132515	.
29	341C	㐜	fiyv	.	giyv	.	124134435	.
30	341D	㐝	rqkn	.	rqkn	.	121352515	.
31	341E	㐞	adwn	.	dwnb	.	122111345	.
32	341F	㐟	djdn	hdhn	hdhn	.	211121115	.
33	3420	㐠	ebnn	.	ebnn	.	344352155	.
34	3421	㐡	vdmd	.	vdmd	.	35132522134	.
35	3422	㐢	iebn	.	iebn	.	44134435215	.
36	3423	㐣	ylnv	.	olnv	.	41312511125	.
37	3424	㐤	vfhw	.	vfhw	.	351225111134	.
38	3425	㐥	qegn	.	qegn	.	3411243125111535	.
39	3426	㐦	vgnn	wfgn	egnn	.	321115251113431125	.
40	3427	㐧	ynht	.	ynht	.	4523	.
41	3428	㐨	cbcb	.	cnhh	.	54525452	.
42	3429	㐩	fjfj	.	fjfj	.	22322232	.
43	342A	㐪	ybwu	gbwi	ybwu	.	415234	.
44	342B	㐫	ybk	.	yrbj	.	413452	.
45	342C	㐬	ycqb	.	yckb	.	4154325	.
46	342D	㐭	ylkf	.	ylkf	.	41252511	.
47	342E	㐮	ufje	.	uaeu	.	4134112213534	.
48	342F	㐯	yktj	.	yktj	.	41251251312342511	.
49	3430	㐰	wkg	.	wkg	.	32251	.
50	3431	㐱	wer	.	wer	.	34333	.
51	3432	㐲	wdy	.	wdy	.	32134	.
52	3433	㐳	wgqn	.	wgqn	.	32135	.
53	3434	㐴	wqy	.	wqy	.	32354	.
54	3435	㐵	wgfh	.	wgfh	.	32112	.
55	3436	㐶	wnn	.	wnn	.	32515	.
56	3437	㐷	wcg	.	wcgg	.	32551	.
57	3438	㐸	wqwy	.	wqwy	.	323534	.
58	3439	㐹	wrnn	.	wrn	.	323115	.
59	343A	㐺	wwwy	.	wwwy	.	323234	.
60	343B	㐻	wmwy	.	wmwy	.	322534	.
61	343C	㐼	wtah	.	wtah	.	323132	.
62	343D	㐽	wmqy	.	wwry	.	323534	.
63	343E	㐾	wfqn	.	wfqn	.	321135	.
64	343F	㐿	wrh	.	wrh	.	323112	.
65	3440	㑀	wdyy	.	wdyy	.	321344	.
66	3441	㑁	wbmh	.	wbmh	.	3252252	.
67	3442	㑂	wgmw	.	wgmw	.	3212534	.
68	3443	㑃	wxln	wxlt	wxet	.	3255453	.
69	3444	㑄	wxgu	wxyy	wxy	.	3255414	.
70	3445	㑅	wthg	.	wthg	.	3231211	.
71	3446	㑆	wkqn	.	wkqn	.	3225135	.
72	3447	㑇	wqvg	.	wqvg	.	3235511	.
73	3448	㑈	waiy	.	waiy	.	3215234	.
74	3449	㑉	wmgq	.	wwgq	.	32351354	.
75	344A	㑊	wyoy	.	wyoy	.	32413234	.
76	344B	㑋	wmag	.	wmag	.	32251221	.
77	344C	㑌	wagg	.	wagg	.	32111215	.
78	344D	㑍	wdiy	.	wfsy	.	32111234	.
79	344E	㑎	wvmh	.	wvmh	.	32555252	.
80	344F	㑏	wpfy	.	wpfy	.	32445124	.
81	3450	㑐	whiy	.	whiy	.	32211234	.
82	3451	㑑	wthg	.	wthg	.	32325111	.
83	3452	㑒	wgkw	.	wgkw	.	34125134	.
84	3453	㑓	wcdc	.	wcdc	.	32541354	.
85	3454	㑔	wdmy	.	wdmy	.	32132534	.
86	3455	㑕	wmqy	.	wmqy	.	32252354	.
87	3456	㑖	wwkh	.	wwkh	.	32322512	.
88	3457	㑗	wtmt	.	wtmt	.	323251113	.
89	3458	㑘	waah	.	waah	.	321132534	.
90	3459	㑙	wbnn	.	wbnn	.	321221115	.
91	345A	㑚	wvfb	.	wngb	.	32511352	.
92	345B	㑛	wgki	.	wskg	.	321251234	.
93	345C	㑜	wrrh	.	wrrh	.	321213312	.
94	345D	㑝	wgah	.	wgah	.	321121132	.
95	345E	㑞	woah	.	woah	.	324334132	.
96	345F	㑟	wrgw	.	wrwy	.	323212134	.
97	3460	㑠	wjcf	.	wjcf	.	322254121	.
98	3461	㑡	wvcb	.	wvbh	.	325115452	.
99	3462	㑢	wfcb	.	wfcb	.	321215452	.
100	3463	㑣	wssy	.	wssy	.	3212341234	.
101	3464	㑤	walg	.	walg	.	3212225121	.
102	3465	㑥	wjqr	.	wjqr	.	3225113533	.
103	3466	㑦	wynd	.	wynd	.	324511344	.
104	3467	㑧	wtbg	.	wtbg	.	3231234521	.
105	3468	㑨	wktd	.	wktd	.	3225131134	.
106	3469	㑩	wlqy	.	wlqy	.	3225221354	.
107	346A	㑪	wyjg	.	wyjg	.	3241343211	.
108	346B	㑫	wwyn	.	wwyn	.	3234454544	.
109	346C	㑬	wvdg	.	wvdg	.	3253112251	.
110	346D	㑭	wlgj	.	wlgj	.	3225121132	.
111	346E	㑮	wplh	.	wplh	.	32451251112	.
112	346F	㑯	wdmy	.	wdmy	.	32132511134	.
113	3470	㑰	wxey	.	wxey	.	32551353334	.
114	3471	㑱	wcbs	.	wcns	.	32545231234	.
115	3472	㑲	wfmf	.	wfmf	.	32122543112	.
116	3473	㑳	wqbt	.	wqbt	.	323552335523	.
117	3474	㑴	wvpc	.	wvpc	.	325114525254	.
118	3475	㑵	wutd	.	wutd	.	324134131134	.
119	3476	㑶	wrno	.	wroy	.	323115431234	.
120	3477	㑷	wcex	.	wcex	.	325425113535	.
121	3478	㑸	wdsk	.	wdsk	.	321225112512	.
122	3479	㑹	wgmj	.	wgmj	.	341251212511	.
123	347A	㑺	wwye	.	wwyb	.	323241112153	.
124	347B	㑻	wpnm	.	wpnm	.	3244545434252	.
125	347C	㑼	wltk	.	wltk	.	3225121354251	.
126	347D	㑽	wipf	.	wipf	.	3224345251121	.
127	347E	㑾	wqyg	.	wqyg	.	3235444111251	.
128	347F	㑿	wvjs	.	wvjs	.	3255525111234	.
129	3480	㒀	wumd	.	wyud	.	3241432512251	.
130	3481	㒁	wlff	.	wlff	.	322512134112	.
131	3482	㒂	wafj	.	wafj	.	3212212132511	.
132	3483	㒃	wafm	.	wafy	.	32111251113454	.
133	3484	㒄	wqdo	.	wqdo	.	32354413444444	.
134	3485	㒅	wyqe	.	wyqe	.	32413543543534	.
135	3486	㒆	wwgn	.	wwgn	.	32341251541541	.
136	3487	㒇	wrlo	.	wtgo	.	32311222214444	.
137	3488	㒈	wnbt	.	wnbt	.	3251221113134	.
138	3489	㒉	wips	.	wips	.	32243452511234	.
139	348A	㒊	wvyh	.	wvyh	.	3253421215342121	.
140	348B	㒋	wadr	.	wdwr	.	32122111343312	.
141	348C	㒌	woom	.	woow	.	32433443344535	.
142	348D	㒍	wcci	.	wcci	.	32545454554234	.
143	348E	㒎	wgdd	wtdd	wgdd	.	32113421112111	.
144	348F	㒏	wpfu	.	wpau	.	32445112213444	.
145	3490	㒐	wtqj	.	wtqj	.	32314314352511	.
146	3491	㒑	waiy	.	waiy	.	321441324111215	.
147	3492	㒒	wogw	.	wouf	.	322243143111234	.
148	3493	㒓	wfup	.	wfup	.	32121431112454	.
149	3494	㒔	wlqj	.	wlqj	.	322522135251214	.
150	3495	㒕	wyxy	.	wyxy	.	324155332411121	.
151	3496	㒖	wajy	.	wajy	.	32122251125214	.
152	3497	㒗	waff	.	waff	.	321221145154121	.
153	3498	㒘	wahu	.	wahu	.	321251255441431	.
154	3499	㒙	wxrh	.	wxrh	.	3255444432511252	.
155	349A	㒚	wean	.	wean	.	3234431215114544	.
156	349B	㒛	wnwy	.	wnwy	.	3254154132411121	.
157	349C	㒜	wvgw	wwfw	wegw	.	323211152511134	.
158	349D	㒝	walt	waly	walw	.	3212225221134534	.
159	349E	㒞	wmwm	.	wmwm	.	32252324111212525	.
160	349F	㒟	wyce	.	wyce	.	324112112544443534	.
161	34A0	㒠	whqg	.	whqg	.	322135454211121111	.
162	34A1	㒡	weri	.	weti	.	3234433112523554234	.
163	34A2	㒢	wwga	.	wwga	.	3234125125125125122	.
164	34A3	㒣	wywn	.	wown	.	3241332324111214544	.
165	34A4	㒤	wbbb	.	wbbb	.	32122111122111122111	.
166	34A5	㒥	wdhu	wmdu	wmdu	.	32111221112521251431	.
167	34A6	㒦	wllf	.	wllf	.	32251212512125121121	.
168	34A7	㒧	wyby	.	wyry	.	32413452255432411121	.
169	34A8	㒨	wvtn	wwfn	wetn	.	323211325341511134515	.
170	34A9	㒩	wxej	.	wxej	.	32551353334251214251214	.
171	34AA	㒪	wahe	.	wahe	.	3412512512512521211353334	.
172	34AB	㒫	ghfq	.	ghqb	.	121135	.
173	34AC	㒬	fqgd	.	fqgd	.	11351121	.
174	34AD	㒭	kqkq	.	kqkq	.	2513525135	.
175	34AE	㒮	fqei	.	fqge	.	11351353334	.
176	34AF	㒯	iqaf	.	igqg	.	2431351221122112	.
177	34B0	㒰	tyaf	.	tyaf	.	34121	.
178	34B1	㒱	tyqu	.	tyqu	.	34354	.
179	34B2	㒲	tyjf	.	tyjf	.	342511	.
180	34B3	㒳	mhty	.	mhty	.	2523434	.
181	34B4	㒴	tybm	.	tybm	.	3452252	.
182	34B5	㒵	rwu	.	rwu	.	3251134	.
183	34B6	㒶	wrf	.	wrf	.	3432511	.
184	34B7	㒷	mwgw	.	mwgw	.	2534134	.
185	34B8	㒸	ueu	.	ueu	.	431353334	.
186	34B9	㒹	fhww	.	fhww	.	12251111341225111134	.
187	34BA	㒺	muwn	.	muwn	.	25431345	.
188	34BB	㒻	jhqb	.	jhqb	.	25112511135	.
189	34BC	㒼	amhy	.	amhy	.	12212523434	.
190	34BD	㒽	judb	.	jugb	.	251143113455	.
191	34BE	㒾	jytb	.	jytb	.	2511415331525	.
192	34BF	㒿	jyby	.	jyry	.	2511413452255432411121	.
193	34C0	㓀	phu	.	phu	.	4524	.
194	34C1	㓁	pwu	.	pwu	.	4534	.
195	34C2	㓂	pfqv	.	pfqv	.	451135531	.
196	34C3	㓃	pyta	.	pyta	.	454111251315	.
197	34C4	㓄	cccq	.	cccq	.	545454343334535	.
198	34C5	㓅	ush	.	ush	.	4112	.
199	34C6	㓆	uwxn	.	uwxn	.	413435	.
200	34C7	㓇	utdy	.	utdy	.	413134	.
201	34C8	㓈	udg	.	udg	.	4113251	.
202	34C9	㓉	utdg	.	utdg	.	41312251	.
203	34CA	㓊	umgk	.	umgk	.	41251251	.
204	34CB	㓋	uawy	.	uawy	.	41122134	.
205	34CC	㓌	uwgg	.	uwgg	.	41341121	.
206	34CD	㓍	uycq	.	uycq	.	41415435	.
207	34CE	㓎	uvpc	.	uvpc	.	415114554	.
208	34CF	㓏	umwk	.	umwk	.	412534251	.
209	34D0	㓐	ufwf	.	ufwf	.	4112134121	.
210	34D1	㓑	ufuf	.	ufuf	.	4112143112	.
211	34D2	㓒	uawn	.	uawn	.	4115342444	.
212	34D3	㓓	ufmf	.	ufmf	.	41122543112	.
213	34D4	㓔	utmf	.	utmf	.	413251113124	.
214	34D5	㓕	udgt	udgy	udgo	.	411314334534	.
215	34D6	㓖	ujaf	.	ujag	.	412511122112	.
216	34D7	㓗	udhi	.	udhi	.	41111253554234	.
217	34D8	㓘	mgqy	.	wgqy	.	35135411214	.
218	34D9	㓙	ybk	.	ybk	.	413452	.
219	34DA	㓚	ajh	.	ajh	.	12122	.
220	34DB	㓛	avn	avt	avt	.	12153	.
221	34DC	㓜	xvn	xvt	xvt	.	55453	.
222	34DD	㓝	fjjh	.	fjjh	.	113222	.
223	34DE	㓞	dhvn	dhvt	dhvt	.	111253	.
224	34DF	㓟	hcjh	.	bjh	.	5325422	.
225	34E0	㓠	hkjh	.	hkjh	.	2125122	.
226	34E1	㓡	rmjh	.	tfbj	.	31125222	.
227	34E2	㓢	tkjh	.	tkjh	.	35425122	.
228	34E3	㓣	wgkj	.	wgkj	.	34125122	.
229	34E4	㓤	fkjh	.	fkjh	.	12125122	.
230	34E5	㓥	ivjh	.	ivjh	.	24351122	.
231	34E6	㓦	djjh	.	djjh	.	13251122	.
232	34E7	㓧	wynj	.	wynj	.	344525122	.
233	34E8	㓨	dwwj	.	dwwj	.	134343422	.
234	34E9	㓩	qejh	.	qejh	.	353511222	.
235	34EA	㓪	yvcv	.	yvvt	.	45115453	.
236	34EB	㓫	dgaj	.	dgaj	.	134113222	.
237	34EC	㓬	udvj	.	ugvj	.	4311345322	.
238	34ED	㓭	jqwj	.	jqwj	.	25113534522	.
239	34EE	㓮	mfkj	.	mfkj	.	3512125122	.
240	34EF	㓯	vljh	.	vljh	.	5552512122	.
241	34F0	㓰	gmbj	.	gmbj	.	1251215222	.
242	34F1	㓱	wgej	.	wgej	.	34125112222	.
243	34F2	㓲	ynmj	.	ynmj	.	45132512222	.
244	34F3	㓳	jghj	.	jghj	.	25111213422	.
245	34F4	㓴	dmjj	.	dmjj	.	13252213422	.
246	34F5	㓵	kkfj	.	kkfj	.	25125111522	.
247	34F6	㓶	dhvj	.	dhvj	.	11125313422	.
248	34F7	㓷	thsj	.	thsj	.	325111123422	.
249	34F8	㓸	nngj	anfj	anfj	.	551551512122	.
250	34F9	㓹	dooj	.	dooj	.	134334433422	.
251	34FA	㓺	hayj	.	hyjh	.	215315413422	.
252	34FB	㓻	lghj	.	lghj	.	252211212122	.
253	34FC	㓼	swij	.	swij	.	1234342413422	.
254	34FD	㓽	mpfj	.	mpfj	.	2524451123422	.
255	34FE	㓾	nirj	.	nitj	.	51324134311222	.
256	34FF	㓿	twij	.	twij	.	31234342413422	.
257	3500	㔀	jyij	.	jyij	.	25114125123422	.
258	3501	㔁	wgkj	.	wgkj	.	54334125143122	.
259	3502	㔂	oqaj	.	oqgj	.	43123435415211	.
260	3503	㔃	xqcv	.	xqcv	.	55444435521553	.
261	3504	㔄	sojh	.	sojh	.	12522143123422	.
262	3505	㔅	vfjj	.	vfjj	.	511232115521222	.
263	3506	㔆	aqaj	.	aqaj	.	15351535251122	.
264	3507	㔇	wxmj	.	wxwj	.	54334515345422	.
265	3508	㔈	adjj	ahdj	ahdj	.	1222111211122	.
266	3509	㔉	ntkj	.	ntkj	.	51332512521422	.
267	350A	㔊	ylkj	.	ylkj	.	412525112511122	.
268	350B	㔋	ahnj	.	ahnj	.	1251253142522122	.
269	350C	㔌	bctj	.	bcij	.	1221115432333422	.
270	350D	㔍	thaj	.	thaj	.	3143142511113222	.
271	350E	㔎	btwv	.	bttv	.	523325151414311253	.
272	350F	㔏	dddj	.	dddj	.	13251132511325122	.
273	3510	㔐	tgdj	tghj	tghj	.	314314121112111122	.
274	3511	㔑	awnv	.	atnv	.	122325151414311253	.
275	3512	㔒	mwyj	.	mwyj	.	25232411121253425122	.
276	3513	㔓	tfln	tflt	tfet	.	31253	.
277	3514	㔔	lkkf	.	ekkf	.	532515	.
278	3515	㔕	rnln	rnlt	ret	.	311553	.
279	3516	㔖	lknb	.	eknb	.	532515	.
280	3517	㔗	xjln	xjlt	xjet	.	5153253	.
281	3518	㔘	bmln	bmlt	bmet	.	5225253	.
282	3519	㔙	ualn	ualt	uaet	.	43113253	.
283	351A	㔚	tdln	tdlt	tdet	.	31225153	.
284	351B	㔛	fklb	fklr	fker	.	12125153	.
285	351C	㔜	ebln	eblt	ebet	.	344352153	.
286	351D	㔝	gmhl	.	gmhe	.	1252343453	.
287	351E	㔞	tful	.	tfue	.	3122113553	.
288	351F	㔟	tgvl	.	tgve	.	3112135453	.
289	3520	㔠	jqwl	.	jqwe	.	25113534553	.
290	3521	㔡	tlql	.	tlre	.	325341153553	.
291	3522	㔢	xqcl	.	xqce	.	55444435521553	.
292	3523	㔣	llll	.	llle	.	25121251212512153	.
293	3524	㔤	ptol	.	ptoe	.	44534312342512153	.
294	3525	㔥	lcel	.	lcee	.	25221542511353553	.
295	3526	㔦	udyl	ugwl	ugye	.	4311134451153453	.
296	3527	㔧	hall	.	hlle	.	215315251212522153	.
297	3528	㔨	quxe	.	quxe	.	35211352511	.
298	3529	㔩	qfcl	.	qfcl	.	351215425221	.
299	352A	㔪	qhlo	.	qhlo	.	3521253444441	.
300	352B	㔫	dxb	.	dxv	.	1335	.
301	352C	㔬	xjj	.	xjj	.	35251112	.
302	352D	㔭	xjgh	.	xjgh	.	15251112134	.
303	352E	㔮	akfx	.	akgx	.	122125111345425113535	.
304	352F	㔯	amkd	.	awkd	.	1352515	.
305	3530	㔰	aqhi	.	aqhi	.	1354245	.
306	3531	㔱	avwi	.	aewi	.	1321511345	.
307	3532	㔲	awyv	awpv	awvv	.	134451154355	.
308	3533	㔳	ayvm	awpm	awvw	.	134451154355	.
309	3534	㔴	alaw	.	alaw	.	1251211221345	.
310	3535	㔵	annw	.	annw	.	15155151221345	.
311	3536	㔶	aujm	.	aujm	.	14143125111235412125111345	.
312	3537	㔷	agmw	.	agmw	.	1125345	.
313	3538	㔸	arhm	.	arhw	.	133215315355	.
314	3539	㔹	fln	flt	fet	.	1253	.
315	353A	㔺	fafj	.	fafj	.	121512	.
316	353B	㔻	gifj	.	dhfj	.	132412	.
317	353C	㔼	rwyf	.	rwyf	.	1213241112112	.
318	353D	㔽	hlkf	.	hlkf	.	21252511	.
319	353E	㔾	bnn	.	bnn	.	55	.
320	353F	㔿	gnhk	.	gnhk	.	152	.
321	3540	㕀	mbb	.	mbb	.	2512155	.
322	3541	㕁	qdcb	.	rdcb	.	34135452	.
323	3542	㕂	dwyn	.	dwyn	.	233445	.
324	3543	㕃	dgak	.	dgak	.	131132	.
325	3544	㕄	dgxi	.	dgxi	.	131554	.
326	3545	㕅	dlk	.	dlk	.	1325112	.
327	3546	㕆	ddd	.	ddd	.	1312251	.
328	3547	㕇	dud	.	dud	.	1341431	.
329	3548	㕈	dyei	.	dyei	.	13413534	.
330	3549	㕉	dwgk	.	dwgk	.	13341251	.
331	354A	㕊	dgey	.	dsi	.	131251124	.
332	354B	㕋	dqd	.	dqd	.	1334112431	.
333	354C	㕌	djgf	.	djgf	.	1325111124	.
334	354D	㕍	dwyd	.	dwyd	.	1332411121	.
335	354E	㕎	dfcl	.	dfcl	.	131215425221	.
336	354F	㕏	dgkf	.	dgkf	.	1312514314412	.
337	3550	㕐	dvqo	.	deqo	.	13321511354444	.
338	3551	㕑	dfkf	.	dfkf	.	13121251431124	.
339	3552	㕒	dugt	dugy	dugy	.	134311213121534	.
340	3553	㕓	dlff	.	dlff	.	13254312114444121	.
341	3554	㕔	dbgn	.	dbgn	.	131221111121132522114544	.
342	3555	㕕	ccu	.	ccu	.	5454	.
343	3556	㕖	cccs	.	cccs	.	5454541234	.
344	3557	㕗	ugqc	.	ugqc	.	43112135454	.
345	3558	㕘	ccci	.	ccci	.	54545434234	.
346	3559	㕙	cwty	.	cwty	.	543435435251354	.
347	355A	㕚	cyyi	.	cyyi	.	5444	.
348	355B	㕛	ccu	.	ccu	.	5454	.
349	355C	㕜	khcu	.	khcu	.	251254	.
350	355D	㕝	dcu	.	dcu	.	1225154	.
351	355E	㕞	nmhc	.	nmhc	.	51325254	.
352	355F	㕟	hmac	.	hmac	.	212512254	.
353	3560	㕠	uwyc	.	uwyc	.	413241112154	.
354	3561	㕡	hpgc	.	hpgc	.	21451343425154	.
355	3562	㕢	hpgc	.	hpgc	.	21451251113454	.
356	3563	㕣	wkf	.	wkf	.	34251	.
357	3564	㕤	kvn	.	kvn	.	25135	.
358	3565	㕥	kwy	.	kwy	.	25134	.
359	3566	㕦	kdu	.	kdu	.	251134	.
360	3567	㕧	knt	.	knt	.	251513	.
361	3568	㕨	kmyy	.	kwyy	.	251354	.
362	3569	㕩	kdhh	.	kdhh	.	2511112	.
363	356A	㕪	kpqn	.	kpqn	.	2514535	.
364	356B	㕫	kyn	kyt	kyt	.	2514153	.
365	356C	㕬	kwcy	.	kwcy	.	2513454	.
366	356D	㕭	ktdy	.	ktdy	.	2513134	.
367	356E	㕮	kwqy	.	kwry	.	2513434	.
368	356F	㕯	mwkd	.	mwkd	.	2534251	.
369	3570	㕰	ktfn	.	ken	.	2513115	.
370	3571	㕱	kdnn	.	kdny	.	2511354	.
371	3572	㕲	ksy	.	ksy	.	2511234	.
372	3573	㕳	kqbh	.	krbh	.	2513452	.
373	3574	㕴	kpmn	.	kpwn	.	2514535	.
374	3575	㕵	kgg	.	kgg	.	2511121	.
375	3576	㕶	kgg	.	kgg	.	2511251	.
376	3577	㕷	krg	.	krg	.	25132511	.
377	3578	㕸	kug	.	kug	.	25141431	.
378	3579	㕹	kdcy	.	kdcy	.	25113544	.
379	357A	㕺	kkgn	.	kkgn	.	25125115	.
380	357B	㕻	yikf	.	ydhk	.	41324251	.
381	357C	㕼	kqqn	.	kqrn	.	25135345	.
382	357D	㕽	knyw	.	knyw	.	2515434	.
383	357E	㕾	ikxb	.	ikxb	.	23425135	.
384	357F	㕿	tkf	.	tkf	.	31234251	.
385	3580	㖀	kvfh	.	kvgh	.	251511112	.
386	3581	㖁	kqdc	.	krdc	.	251341354	.
387	3582	㖂	kjnt	kjxt	kjnt	.	251251153	.
388	3583	㖃	krgk	.	krgk	.	251331251	.
389	3584	㖄	kyth	.	kyth	.	251434242	.
390	3585	㖅	kdgt	kdgy	kdgg	.	251131534	.
391	3586	㖆	kmag	.	kmag	.	251251221	.
392	3587	㖇	kdmj	.	kdmj	.	251132522	.
393	3588	㖈	ftxk	.	ftxk	.	121335251	.
394	3589	㖉	kwhg	.	kwhg	.	251342121	.
395	358A	㖊	kvfy	.	kvfy	.	251511124	.
396	358B	㖋	wjkx	.	wjkx	.	343225135	.
397	358C	㖌	wvkx	.	wvkx	.	323525135	.
398	358D	㖍	ufkx	.	ufkx	.	441225135	.
399	358E	㖎	kxwj	.	kxwj	.	251353432	.
400	358F	㖏	kjfg	.	kjfg	.	2512511121	.
401	3590	㖐	kkvt	.	kkvt	.	2512515113	.
402	3591	㖑	kaah	.	kaah	.	2511132534	.
403	3592	㖒	kuxt	.	kuxt	.	2514351523	.
404	3593	㖓	ktdh	.	ktdh	.	2513541112	.
405	3594	㖔	kgdk	ktdk	kgdk	.	2511134251	.
406	3595	㖕	kuh	.	kuh	.	2514143112	.
407	3596	㖖	ukf	.	ukf	.	4143112251	.
408	3597	㖗	kmwn	.	kmwn	.	2512523445	.
409	3598	㖘	kdfe	.	kdfe	.	2511311534	.
410	3599	㖙	lkkx	.	ekkx	.	5325125135	.
411	359A	㖚	wfkx	.	wfkx	.	3212425135	.
412	359B	㖛	dkxb	.	dkxb	.	1225125135	.
413	359C	㖜	ykxb	.	ykxb	.	4125125135	.
414	359D	㖝	fikx	.	fkxb	.	1123425135	.
415	359E	㖞	kkmw	.	kkmw	.	2512512534	.
416	359F	㖟	kepc	.	kepc	.	25134434554	.
417	35A0	㖠	kdfi	.	kdfi	.	25113411234	.
418	35A1	㖡	kywy	.	kywy	.	25141323544	.
419	35A2	㖢	kyhx	.	kohx	.	251413212135	.
420	35A3	㖣	kukg	.	kukg	.	25141431251	.
421	35A4	㖤	kbib	.	kbib	.	25152413452	.
422	35A5	㖥	klty	.	klty	.	25125312341	.
423	35A6	㖦	kgji	.	ksjg	.	25112511234	.
424	35A7	㖧	kqaj	.	kqaj	.	25135152511	.
425	35A8	㖨	kviy	.	kviy	.	25151124134	.
426	35A9	㖩	kbcy	.	kbcy	.	25112211154	.
427	35AA	㖪	kakg	.	kakg	.	25112511534	.
428	35AB	㖫	kfwt	.	kfwt	.	25112134354	.
429	35AC	㖬	kvcy	.	kecy	.	25132151154	.
430	35AD	㖭	kgdn	ktdn	kgdn	.	25111342444	.
431	35AE	㖮	kwga	.	kwga	.	25134125122	.
432	35AF	㖯	mgkx	.	mgkx	.	25125125135	.
433	35B0	㖰	kxmk	.	kxmk	.	25135251251	.
434	35B1	㖱	ywtk	.	ywtk	.	41323544251	.
435	35B2	㖲	vkkx	.	vkkx	.	53125125135	.
436	35B3	㖳	ivkx	.	ivkx	.	44153125135	.
437	35B4	㖴	kaqr	.	kaqr	.	2511223533	.
438	35B5	㖵	khwy	.	khwy	.	25125111134	.
439	35B6	㖶	ksfg	.	ksfg	.	251125221121	.
440	35B7	㖷	kjgh	.	kjgh	.	251251112134	.
441	35B8	㖸	khag	.	khag	.	251215315151	.
442	35B9	㖹	kwvl	.	kwvl	.	251345325221	.
443	35BA	㖺	kdwj	.	kdwj	.	251111342511	.
444	35BB	㖻	kcbs	.	kcns	.	251545231234	.
445	35BC	㖼	kafs	.	kfsy	.	251122111234	.
446	35BD	㖽	kdmy	.	kdmy	.	251132511134	.
447	35BE	㖾	kkut	.	kkut	.	251251431523	.
448	35BF	㖿	kbbh	.	kbbh	.	25112211152	.
449	35C0	㗀	kxxm	kmxx	kmxx	.	251255455452	.
450	35C1	㗁	kkkn	.	kkkn	.	251251251115	.
451	35C2	㗂	kith	.	kith	.	251234325111	.
452	35C3	㗃	knaj	.	knaj	.	251515152511	.
453	35C4	㗄	klyn	klyt	klyt	.	251252214153	.
454	35C5	㗅	kdeg	.	kdeg	.	251122513511	.
455	35C6	㗆	kafh	.	kafh	.	251122125112	.
456	35C7	㗇	knhc	.	knhc	.	251512115154	.
457	35C8	㗈	kcel	.	kcee	.	251542511253	.
458	35C9	㗉	dhvk	.	dhvk	.	111253354251	.
459	35CA	㗊	kkkk	.	kkkk	.	251251251251	.
460	35CB	㗋	kqdd	.	kqdd	.	251351331134	.
461	35CC	㗌	kpgf	.	kpgf	.	251445154121	.
462	35CD	㗍	ktjg	.	ktjg	.	251312342511	.
463	35CE	㗎	klks	.	keks	.	251532511234	.
464	35CF	㗏	kgih	.	kdhh	.	251132412121	.
465	35D0	㗐	kdyl	.	kdyl	.	251134425221	.
466	35D1	㗑	krdf	.	krdf	.	251311311112	.
467	35D2	㗒	kyey	.	kyey	.	251412513534	.
468	35D3	㗓	kwnp	.	ktnp	.	251325151454	.
469	35D4	㗔	khay	.	khyy	.	2512153154134	.
470	35D5	㗕	kfjf	.	kamf	.	2511122125211	.
471	35D6	㗖	kevg	.	keeg	.	2513443321511	.
472	35D7	㗗	klrf	.	kerf	.	2515332511312	.
473	35D8	㗘	kgef	.	ksfy	.	2511251124124	.
474	35D9	㗙	kqbt	.	kqbt	.	2513552335523	.
475	35DA	㗚	kssy	.	kssy	.	2511252211234	.
476	35DB	㗛	kttd	.	kttd	.	2513143143134	.
477	35DC	㗜	kyxl	.	kyxl	.	2514155425121	.
478	35DD	㗝	kugo	.	kugo	.	2514311214444	.
479	35DE	㗞	kdhc	.	kdby	.	2511325153254	.
480	35DF	㗟	iygx	.	iygx	.	4414112125135	.
