ID	Unicode	字符	86版	86容错	98版	98容错	笔顺编号	笔顺容错
1758	3ADD	㫝	jqay	.	jqay	.	251135154	.
1759	3ADE	㫞	jbhc	.	jbhc	.	251152254	.
1760	3ADF	㫟	jmkg	.	jwkg	.	251135251	.
1761	3AE0	㫠	jufh	.	jugh	.	251143112	.
1762	3AE1	㫡	jtuu	.	jtuu	.	251135444	.
1763	3AE2	㫢	jfcy	.	jfcy	.	251112154	.
1764	3AE3	㫣	jjnb	.	jjnb	.	251125115	.
1765	3AE4	㫤	jyni	.	jyni	.	251145534	.
1766	3AE5	㫥	jqkg	.	jqkg	.	2511354251	.
1767	3AE6	㫦	whtj	.	whtj	.	3223542511	.
1768	3AE7	㫧	jou	.	jou	.	2511431234	.
1769	3AE8	㫨	jpvg	.	jpvg	.	2511445531	.
1770	3AE9	㫩	fajf	.	fajf	.	121222511	.
1771	3AEA	㫪	dwhj	.	dwhj	.	1113422511	.
1772	3AEB	㫫	jgog	.	jgof	.	2511122431	.
1773	3AEC	㫬	jqjg	.	jqjg	.	2511352511	.
1774	3AED	㫭	jffu	.	jffu	.	2511121124	.
1775	3AEE	㫮	hxjf	.	hxjf	.	2121352511	.
1776	3AEF	㫯	jjgq	.	jjgq	.	25112511135	.
1777	3AF0	㫰	jyve	.	jyvy	.	25114511534	.
1778	3AF1	㫱	jfou	.	jfou	.	25111213234	.
1779	3AF2	㫲	jfpb	.	jfpb	.	25111245521	.
1780	3AF3	㫳	dfej	.	dfej	.	13115342511	.
1781	3AF4	㫴	jftb	.	jftb	.	25111213521	.
1782	3AF5	㫵	jdjd	jhdd	jhdd	.	251121112111	.
1783	3AF6	㫶	jvph	.	jvph	.	251151145252	.
1784	3AF7	㫷	adwj	.	dwjf	.	122111342511	.
1785	3AF8	㫸	jgvh	.	jgvh	.	251115112134	.
1786	3AF9	㫹	jrnr	.	jrnr	.	251133513312	.
1787	3AFA	㫺	wwwj	.	wwwj	.	343434342511	.
1788	3AFB	㫻	jwga	.	jwga	.	251134125122	.
1789	3AFC	㫼	jrmj	.	jtgj	.	251131125222	.
1790	3AFD	㫽	jviy	.	jviy	.	251151124134	.
1791	3AFE	㫾	jimk	.	jimk	.	251124325251	.
1792	3AFF	㫿	jwyg	.	jwyg	.	251132411121	.
1793	3B00	㬀	jybg	.	jybg	.	251141251521	.
1794	3B01	㬁	jiwk	.	jiwk	.	2511441341251	.
1795	3B02	㬂	jjmy	.	jjmy	.	2511251125214	.
1796	3B03	㬃	jcko	.	jcko	.	2511542514334	.
1797	3B04	㬄	jdfo	.	jdfo	.	2511131213234	.
1798	3B05	㬅	jldn	jlyr	jlgq	.	251125221153	.
1799	3B06	㬆	jnaj	.	jnaj	.	2511515152511	.
1800	3B07	㬇	jqmd	.	jqmd	.	25113525134	.
1801	3B08	㬈	jjlg	.	jjlg	.	2511251125221	.
1802	3B09	㬉	jdmd	.	jdmd	.	2511132522134	.
1803	3B0A	㬊	jefc	.	jegc	.	2511344311354	.
1804	3B0B	㬋	jwnd	.	jwnd	.	2511325131134	.
1805	3B0C	㬌	jyji	.	jyji	.	2511412511234	.
1806	3B0D	㬍	jgef	.	jsfy	.	25111251124124	.
1807	3B0E	㬎	jxxo	.	jxxo	.	25115545544444	.
1808	3B0F	㬏	jgkh	.	jgkh	.	25111251254312	.
1809	3B10	㬐	jgoj	.	jgoj	.	25111224312511	.
1810	3B11	㬑	jybb	.	jybb	.	25114125152152	.
1811	3B12	㬒	jada	.	jada	.	25111221344132	.
1812	3B13	㬓	jsfi	.	jsfi	.	251112522111234	.
1813	3B14	㬔	jnwe	.	jnwe	.	251154154134333	.
1814	3B15	㬕	jpyd	.	jpyu	.	25114524431112	.
1815	3B16	㬖	jynk	.	jynk	.	251145133134251	.
1816	3B17	㬗	jqdo	.	jqdo	.	2511354413444444	.
1817	3B18	㬘	jvfj	.	jvfj	.	25115112321155212	.
1818	3B19	㬙	jeto	.	jeto	.	2511344335554444	.
1819	3B1A	㬚	jyct	.	jyct	.	2511415425113134	.
1820	3B1B	㬛	jwgn	.	jwgn	.	2511341251541541	.
1821	3B1C	㬜	gcfj	.	gcfj	.	1541211541212511	.
1822	3B1D	㬝	julj	.	julj	.	2511432524312511	.
1823	3B1E	㬞	jmjn	.	jmjn	.	2511252251135345	.
1824	3B1F	㬟	qruj	.	qruj	.	3533432524312511	.
1825	3B20	㬠	jqvo	.	jqvo	.	25113521131344444	.
1826	3B21	㬡	jfwc	.	jfwc	.	25111452444434454	.
1827	3B22	㬢	jugt	jugy	jugy	.	25114311213121534	.
1828	3B23	㬣	jogf	.	jouf	.	251122431431121124	.
1829	3B24	㬤	jjxo	.	jjxo	.	251125115545544444	.
1830	3B25	㬥	jbmo	.	jbmo	.	251152252134431234	.
1831	3B26	㬦	jawc	.	jawc	.	25111223241112154	.
1832	3B27	㬧	jbmi	.	jbmi	.	251152252134554234	.
1833	3B28	㬨	jfoo	.	jfoo	.	251112132341213234	.
1834	3B29	㬩	jdhn	.	jdhn	.	2511111211125114544	.
1835	3B2A	㬪	jjjg	.	jjjx	.	251125112511445551	.
1836	3B2B	㬫	aukj	akuj	akuj	.	12212512113544442511	.
1837	3B2C	㬬	jhhy	.	jhhy	.	2511251112511132411121	.
1838	3B2D	㬭	jelf	.	jelf	.	251134432522151154124	.
1839	3B2E	㬮	jaky	.	jaky	.	25111221251113432411121	.
1840	3B2F	㬯	jyny	.	jyey	.	25114152513511431112354	.
1841	3B30	㬰	jwi	.	jwi	.	251134	.
1842	3B31	㬱	tfqj	.	tfqj	.	3121353121352511	.
1843	3B32	㬲	gjql	.	gjrl	.	12511344313425221	.
1844	3B33	㬳	etfh	.	etfh	.	35113112	.
1845	3B34	㬴	eawy	.	eawy	.	3511122134	.
1846	3B35	㬵	euqy	.	eury	.	3511413434	.
1847	3B36	㬶	etfk	.	etfk	.	35113121251	.
1848	3B37	㬷	elsy	.	elsy	.	35112512341	.
1849	3B38	㬸	eawx	.	eawx	.	35111223235	.
1850	3B39	㬹	eqvh	.	eqvh	.	3511355112	.
1851	3B3A	㬺	eudh	.	eugh	.	3511431134252	.
1852	3B3B	㬻	eayq	.	eayk	.	3511122415325	.
1853	3B3C	㬼	dett	.	dett	.	132511312511354	.
1854	3B3D	㬽	ekkn	.	ekkn	.	351125125125115	.
1855	3B3E	㬾	atde	.	atde	.	131134535542511	.
1856	3B3F	㬿	eybt	.	eybt	.	3511412515213134	.
1857	3B40	㭀	etaw	.	etaw	.	35113143141234341	.
1858	3B41	㭁	sen	set	sbt	.	123453	.
1859	3B42	㭂	siy	.	siy	.	1234234	.
1860	3B43	㭃	sxy	.	sxy	.	1234554	.
1861	3B44	㭄	snfh	.	snfh	.	1234512	.
1862	3B45	㭅	sdg	.	sdg	.	1234111	.
1863	3B46	㭆	egsu	.	bgsu	.	5311234	.
1864	3B47	㭇	scqn	.	scqn	.	12345435	.
1865	3B48	㭈	snwy	.	snwy	.	12345134	.
1866	3B49	㭉	asu	.	asu	.	1221234	.
1867	3B4A	㭊	sthn	.	sthn	.	12343215	.
1868	3B4B	㭋	sdhh	.	sdhh	.	12341112	.
1869	3B4C	㭌	srhh	.	stgh	.	12343112	.
1870	3B4D	㭍	uasu	.	uasu	.	41151234	.
1871	3B4E	㭎	smqy	.	smry	.	12342534	.
1872	3B4F	㭏	sfnh	.	sfnh	.	12341152	.
1873	3B50	㭐	dgsu	.	dgsu	.	13411234	.
1874	3B51	㭑	sfiy	.	sfy	.	123411234	.
1875	3B52	㭒	snhn	shnn	sng	.	123425151	.
1876	3B53	㭓	scah	.	scah	.	123454132	.
1877	3B54	㭔	stuh	.	stuf	.	123434312	.
1878	3B55	㭕	sfcy	.	sfcy	.	123412154	.
1879	3B56	㭖	sway	.	sway	.	123432154	.
1880	3B57	㭗	slf	.	slf	.	123425221	.
1881	3B58	㭘	swgk	.	swgk	.	1234341251	.
1882	3B59	㭙	sffy	.	sffy	.	1234121124	.
1883	3B5A	㭚	stey	.	stey	.	1234313534	.
1884	3B5B	㭛	srey	.	srey	.	1234333534	.
1885	3B5C	㭜	sadt	.	sadt	.	1234113534	.
1886	3B5D	㭝	ssvb	.	ssvb	.	1234123435	.
1887	3B5E	㭞	sitl	.	site	.	1234234353	.
1888	3B5F	㭟	awsu	.	awsu	.	1221341234	.
1889	3B60	㭠	stfq	.	stfq	.	1234312135	.
1890	3B61	㭡	stlq	.	stlr	.	1234325341	.
1891	3B62	㭢	sgaj	.	sgaj	.	1234113222	.
1892	3B63	㭣	sukg	.	sukg	.	1234425251	.
1893	3B64	㭤	sqyg	.	sqgg	.	123435451	.
1894	3B65	㭥	sqmy	.	sqmy	.	1234352534	.
1895	3B66	㭦	spta	.	spta	.	1234445315	.
1896	3B67	㭧	tesu	.	tusu	.	3354141234	.
1897	3B68	㭨	sahb	.	sahb	.	1234152352	.
1898	3B69	㭩	sefy	.	sefy	.	12343443124	.
1899	3B6A	㭪	sgey	.	ssy	.	12341251124	.
1900	3B6B	㭫	swwf	.	swwf	.	12343434121	.
1901	3B6C	㭬	sey	.	sgey	.	12341353334	.
1902	3B6D	㭭	sklj	.	skej	.	12342515322	.
1903	3B6E	㭮	svgq	.	svgq	.	12345551354	.
1904	3B6F	㭯	sbnn	.	sbnn	.	12341221115	.
1905	3B70	㭰	hxgi	.	hxsm	.	212135125234	.
1906	3B71	㭱	salh	.	salh	.	12341251125	.
1907	3B72	㭲	swwk	.	swwk	.	12343434251	.
1908	3B73	㭳	sftb	.	sftb	.	12341213521	.
1909	3B74	㭴	sjcf	.	sjcf	.	12342254121	.
1910	3B75	㭵	sqlg	.	sqlg	.	12343525121	.
1911	3B76	㭶	sayn	sayt	sayt	.	12341224153	.
1912	3B77	㭷	slln	sllt	slet	.	12342512153	.
1913	3B78	㭸	sqky	.	sqky	.	123435251354	.
1914	3B79	㭹	sxyx	.	sxyx	.	123451541554	.
1915	3B7A	㭺	sdjn	.	sdjn	.	123413425115	.
1916	3B7B	㭻	simk	.	simk	.	123424325251	.
1917	3B7C	㭼	sijg	.	sijg	.	123425342511	.
1918	3B7D	㭽	syqy	.	soqy	.	123441335154	.
1919	3B7E	㭾	snbm	.	snbm	.	123451352252	.
1920	3B7F	㭿	sjqb	.	sjqb	.	123425113552	.
1921	3B80	㮀	sbib	.	sbib	.	123452413452	.
1922	3B81	㮁	sqde	.	srde	.	123434132511	.
1923	3B82	㮂	hwsu	hdsu	hwsu	.	251111341234	.
1924	3B83	㮃	stvg	.	stvg	.	123431234531	.
1925	3B84	㮄	sfqy	.	sfqy	.	123411354153	.
1926	3B85	㮅	swyf	.	swyf	.	123432411121	.
1927	3B86	㮆	swud	.	swuh	.	123434431112	.
1928	3B87	㮇	sgdn	.	sgdn	.	123411342444	.
1929	3B88	㮈	sdfi	.	sdfi	.	123413411234	.
1930	3B89	㮉	swgw	.	swgd	.	123432143134	.
1931	3B8A	㮊	scbs	.	scns	.	123454521234	.
1932	3B8B	㮋	sdeb	.	sdeb	.	123413251152	.
1933	3B8C	㮌	sdmd	.	sdlf	.	1234132522111	.
1934	3B8D	㮍	uejs	.	uejs	.	4312511221234	.
1935	3B8E	㮎	sgil	.	sdhl	.	1234132425221	.
1936	3B8F	㮏	ssfi	.	ssfi	.	1234123411234	.
1937	3B90	㮐	sith	.	sith	.	1234234325111	.
1938	3B91	㮑	stfv	.	stfe	.	1234312321511	.
1939	3B92	㮒	ssfg	.	ssfg	.	1234125221121	.
1940	3B93	㮓	sngg	.	sngg	.	1234442125441	.
1941	3B94	㮔	stgf	.	stgf	.	1234312511211	.
1942	3B95	㮕	sdmd	.	sdmd	.	1234132522134	.
1943	3B96	㮖	safh	.	safh	.	1234122125112	.
1944	3B97	㮗	cbts	.	cnhs	.	5452334451234	.
1945	3B98	㮘	scbt	.	scnt	.	1234545233134	.
1946	3B99	㮙	skkn	.	skkn	.	1234251251115	.
1947	3B9A	㮚	hlws	.	hlws	.	2125343411234	.
1948	3B9B	㮛	sjgh	.	sjgh	.	1234251112134	.
1949	3B9C	㮜	sanf	.	sauf	.	1234152131215	.
1950	3B9D	㮝	swwb	.	swwb	.	1234343425152	.
1951	3B9E	㮞	suqk	.	suqk	.	1234413534251	.
1952	3B9F	㮟	sdsy	.	sdsy	.	1234132511234	.
1953	3BA0	㮠	saps	.	saps	.	1234122451234	.
1954	3BA1	㮡	oans	.	oans	.	433415151234	.
1955	3BA2	㮢	swnd	.	swnd	.	1234325131134	.
1956	3BA3	㮣	vcas	.	vaqs	.	5115415351234	.
1957	3BA4	㮤	pwws	.	pwws	.	44534342511234	.
1958	3BA5	㮥	scdl	.	scdl	.	12345413425121	.
1959	3BA6	㮦	sfpi	.	sfpi	.	12341245554234	.
1960	3BA7	㮧	swno	.	sqoy	.	12343251154444	.
1961	3BA8	㮨	slwt	.	slwt	.	12342512134354	.
1962	3BA9	㮩	sthn	.	sthn	.	12343251114544	.
1963	3BAA	㮪	sams	.	saws	.	12341213541234	.
1964	3BAB	㮫	spdk	.	spdk	.	12344451112251	.
1965	3BAC	㮬	swcn	.	swcn	.	12343454541541	.
1966	3BAD	㮭	sclf	.	sclf	.	12345425431121	.
1967	3BAE	㮮	sdhr	.	sdhr	.	12341112533112	.
1968	3BAF	㮯	sley	.	slge	.	12342513533341	.
1969	3BB0	㮰	stlx	.	stlx	.	12343253411535	.
1970	3BB1	㮱	satq	.	satq	.	1234122312135	.
1971	3BB2	㮲	sqbt	.	sqbt	.	12343552335523	.
1972	3BB3	㮳	seud	.	seud	.	12343511431134	.
1973	3BB4	㮴	svhc	.	sehc	.	1234321511254	.
1974	3BB5	㮵	syty	.	syty	.	12344153313541	.
1975	3BB6	㮶	sube	.	sube	.	12344315233511	.
1976	3BB7	㮷	sdnj	.	sdnj	.	12341354352511	.
1977	3BB8	㮸	sudp	.	sudp	.	1234431134454	.
1978	3BB9	㮹	sgct	.	sgct	.	12341541213134	.
1979	3BBA	㮺	sgkk	.	sgkk	.	12341251251251	.
1980	3BBB	㮻	scyj	.	scyj	.	1234544251214	.
1981	3BBC	㮼	synn	.	synn	.	12344513541541	.
1982	3BBD	㮽	stec	.	stuc	.	12343354143554	.
1983	3BBE	㮾	yvcs	.	yves	.	45115435111234	.
1984	3BBF	㮿	sjaf	.	sjag	.	12342511122112	.
1985	3BC0	㯀	syth	.	syth	.	123441533152134	.
1986	3BC1	㯁	sbuk	.	sbuk	.	12345241431251	.
1987	3BC2	㯂	saqh	.	saqh	.	123412213545252	.
1988	3BC3	㯃	sswi	.	sswi	.	123412343424134	.
1989	3BC4	㯄	ssrc	.	ssrc	.	123412343315215	.
1990	3BC5	㯅	syrf	.	sorf	.	123441332511312	.
1991	3BC6	㯆	sutg	.	sutg	.	123441431331121	.
1992	3BC7	㯇	sdjf	shdf	shdf	.	123421112111121	.
1993	3BC8	㯈	sgkp	.	sskp	.	12341251234454	.
1994	3BC9	㯉	shah	.	shtf	.	123421531534312	.
1995	3BCA	㯊	sgho	.	sgho	.	123412121154444	.
1996	3BCB	㯋	xsdm	.	xsdm	.	351234132511134	.
1997	3BCC	㯌	sepy	.	sgep	.	12341353334454	.
1998	3BCD	㯍	snhf	.	suqf	.	123452133544124	.
1999	3BCE	㯎	sysy	.	sysy	.	123441112511234	.
2000	3BCF	㯏	fnms	.	fnws	.	121521335541234	.
2001	3BD0	㯐	bdas	.	bdas	.	521312125111234	.
2002	3BD1	㯑	sxde	.	sxde	.	123451512111534	.
2003	3BD2	㯒	sehq	.	sehq	.	123434432511135	.
2004	3BD3	㯓	swgn	.	swgn	.	1234341251541541	.
2005	3BD4	㯔	tfns	.	eees	.	3115311531151234	.
2006	3BD5	㯕	sadr	.	sdwr	.	1234122111343312	.
2007	3BD6	㯖	sfln	.	sfln	.	1234132522114544	.
2008	3BD7	㯗	susy	.	susy	.	1234511225111234	.
2009	3BD8	㯘	sffw	.	sffw	.	1234121112343534	.
2010	3BD9	㯙	syct	.	syct	.	1234415425113134	.
2011	3BDA	㯚	stwk	.	stwk	.	1234314314341251	.
2012	3BDB	㯛	sfpg	.	sfpg	.	1234121452155121	.
2013	3BDC	㯜	sayf	.	sayf	.	123412241343412	.
2014	3BDD	㯝	skhk	.	skhk	.	12342512121354251	.
2015	3BDE	㯞	sxke	.	sxke	.	12345544442512511	.
2016	3BDF	㯟	ssvi	.	ssvi	.	1234123451124134	.
2017	3BE0	㯠	syxh	.	syxg	.	123441554453112	.
2018	3BE1	㯡	swin	.	swin	.	1234342413435515	.
2019	3BE2	㯢	snnw	.	snnw	.	1234515515122134	.
2020	3BE3	㯣	saws	.	saws	.	123412234531234	.
2021	3BE4	㯤	swww	.	swww	.	1343423413434234	.
2022	3BE5	㯥	gjii	.	sjsj	.	1251123412511234	.
2023	3BE6	㯦	sads	.	sdws	.	1234122111341234	.
2024	3BE7	㯧	sfhk	.	sfhk	.	1234121213453251	.
2025	3BE8	㯨	ssoy	.	ssoy	.	1234125221431234	.
2026	3BE9	㯩	cccw	.	cccw	.	5454541234151534	.
2027	3BEA	㯪	sfwc	.	sfwc	.	12341452444434454	.
2028	3BEB	㯫	shae	.	shge	.	12342153151353334	.
2029	3BEC	㯬	ssvp	.	ssvp	.	1234123451111254	.
2030	3BED	㯭	shal	.	shle	.	12342153152512153	.
2031	3BEE	㯮	slqj	.	slqj	.	12342522135251214	.
2032	3BEF	㯯	stam	.	stgm	.	12343541522511134	.
2033	3BF0	㯰	slfh	.	slfh	.	12342522112251111	.
2034	3BF1	㯱	gkhs	.	gkhs	.	12512453112521234	.
2035	3BF2	㯲	sssi	.	sssi	.	12341234123411234	.
2036	3BF3	㯳	saqt	.	saqt	.	1234122352513134	.
2037	3BF4	㯴	sapk	.	sapk	.	12341224453434251	.
2038	3BF5	㯵	satf	.	satf	.	1234122312511211	.
2039	3BF6	㯶	sobt	.	sobt	.	12343444445234354	.
2040	3BF7	㯷	swoy	.	swog	.	123432224314311134	.
2041	3BF8	㯸	svhl	.	svhl	.	123451121444425221	.
2042	3BF9	㯹	ssff	.	ssff	.	123412522111234124	.
2043	3BFA	㯺	shns	ahns	ahns	.	125125314252211234	.
2044	3BFB	㯻	gkhs	.	gkhs	.	125124513533341234	.
2045	3BFC	㯼	safl	.	safl	.	12341221215425221	.
2046	3BFD	㯽	spnm	.	spnm	.	123444552132511134	.
2047	3BFE	㯾	sgmp	.	sgmp	.	123412512212511454	.
2048	3BFF	㯿	svln	.	svln	.	1234555253415445445	.
2049	3C00	㰀	stqi	.	stqi	.	1234312343533424134	.
2050	3C01	㰁	sddd	.	sddd	.	1234132511325113251	.
2051	3C02	㰂	sptl	.	sptl	.	1234445343123425121	.
2052	3C03	㰃	srmi	.	srmi	.	1234325112523554234	.
2053	3C04	㰄	smaa	.	smaa	.	1234251113415341534	.
2054	3C05	㰅	sump	.	syup	.	123441432512251454	.
2055	3C06	㰆	gkhs	.	gkhs	.	125124521112111234	.
2056	3C07	㰇	sfag	.	sfag	.	1234121211121111534	.
2057	3C08	㰈	sslp	.	sslp	.	123412341251112454	.
2058	3C09	㰉	sgct	.	sgct	.	12341541211113431234	.
2059	3C0A	㰊	sfwo	.	sfwo	.	12341213412143344334	.
2060	3C0B	㰋	shim	.	shhm	.	12342121233132511134	.
2061	3C0C	㰌	sfwy	.	sfwy	.	12341452444432411121	.
2062	3C0D	㰍	uegs	.	uegs	.	41431251115151111234	.
2063	3C0E	㰎	smwm	.	smwm	.	1234252324111212525	.
2064	3C0F	㰏	styk	.	styk	.	12343143144125125251	.
2065	3C10	㰐	sbdp	.	sbdp	.	123452131212511454	.
2066	3C11	㰑	snns	.	snns	.	12344544454445441234	.
2067	3C12	㰒	svqb	.	serb	.	12343211343451145521	.
2068	3C13	㰓	sahm	.	sahm	.	12341251253142511134	.
2069	3C14	㰔	soyc	syoc	syoc	.	123441112514334433454	.
2070	3C15	㰕	sugt	sugy	sugy	.	12344311213123415534	.
2071	3C16	㰖	sahq	.	sahq	.	12341251253142511135	.
2072	3C17	㰗	sdhh	.	sdhh	.	1234132112345342512134	.
2073	3C18	㰘	sxga	.	sxoa	.	1234551431234554234132	.
2074	3C19	㰙	saky	.	saky	.	12341221251113432411121	.
2075	3C1A	㰚	syby	.	syry	.	1234413452255432411121	.
2076	3C1B	㰛	saxs	sars	sars	.	1234122325115545541234	.
2077	3C1C	㰜	sfhm	.	sfhm	.	12341225111134132511134	.
2078	3C1D	㰝	nqwy	.	nqwy	.	5153534	.
2079	3C1E	㰞	mqwy	.	mqwy	.	2523534	.
